week_start,week_end,hits,os_name,os_version,os_variant,os_arch,sys_age,repo_tag,repo_arch
2020-02-10,2020-02-16,2,Fedora,31,generic,x86_64,3,fedora-modular-31,x86_64
2020-02-10,2020-02-16,2,Fedora,31,generic,x86_64,3,updates-released-f31,x86_64
2020-02-10,2020-02-16,1,Fedora,31,workstation,x86_64,3,updates-released-modular-f31,x86_64
2020-02-10,2020-02-16,2,Fedora,31,workstation,x86_64,3,fedora-31,x86_64
2020-02-10,2020-02-16,2,Fedora,31,generic,x86_64,3,updates-released-modular-f31,x86_64
2020-02-10,2020-02-16,2,Fedora,31,generic,x86_64,3,fedora-31,x86_64
2020-02-10,2020-02-16,2,Fedora,31,workstation,x86_64,3,updates-released-f31,x86_64
2020-02-10,2020-02-16,1,Fedora,31,workstation,x86_64,3,fedora-modular-31,x86_64
2020-02-10,2020-02-16,1,Fedora,31,generic,x86_64,3,updates-testing-f31,x86_64
2020-02-10,2020-02-16,1,Fedora,32,workstation,x86_64,1,rawhide-modular,x86_64
2020-02-10,2020-02-16,3,Fedora,32,workstation,x86_64,1,rawhide,x86_64
2020-02-10,2020-02-16,1,Fedora,32,generic,x86_64,1,rawhide-modular,x86_64
2020-02-10,2020-02-16,2,Fedora,32,generic,x86_64,1,rawhide,x86_64
2020-02-10,2020-02-16,81,Fedora,32,generic,x86_64,1,fedora-modular-32,x86_64
2020-02-10,2020-02-16,62,Fedora,32,generic,x86_64,1,updates-testing-f32,x86_64
2020-02-10,2020-02-16,84,Fedora,32,generic,x86_64,1,updates-released-modular-f32,x86_64
2020-02-10,2020-02-16,73,Fedora,32,generic,x86_64,1,updates-released-f32,x86_64
2020-02-10,2020-02-16,53,Fedora,32,generic,x86_64,1,fedora-32,x86_64
2020-02-10,2020-02-16,59,Fedora,32,generic,x86_64,1,updates-testing-modular-f32,x86_64
2020-02-10,2020-02-16,62,Fedora,32,workstation,x86_64,1,updates-testing-modular-f32,x86_64
2020-02-10,2020-02-16,2,Fedora,32,container,x86_64,1,updates-testing-modular-f32,x86_64
2020-02-10,2020-02-16,3,Fedora,32,container,x86_64,1,updates-testing-f32,x86_64
2020-02-10,2020-02-16,144,Fedora,33,generic,x86_64,1,rawhide,x86_64
2020-02-10,2020-02-16,63,Fedora,32,workstation,x86_64,1,updates-released-modular-f32,x86_64
2020-02-10,2020-02-16,63,Fedora,32,workstation,x86_64,1,updates-released-f32,x86_64
2020-02-10,2020-02-16,125,Fedora,33,generic,x86_64,1,rawhide-modular,x86_64
2020-02-10,2020-02-16,85,Fedora,33,workstation,x86_64,1,rawhide-modular,x86_64
2020-02-10,2020-02-16,10,Fedora,32,container,x86_64,1,fedora-modular-32,x86_64
2020-02-10,2020-02-16,18,Fedora,32,cloud,x86_64,1,updates-testing-f32,x86_64
2020-02-10,2020-02-16,17,Fedora,32,cloud,x86_64,1,updates-released-f32,x86_64
2020-02-10,2020-02-16,18,Fedora,32,cloud,x86_64,1,updates-released-modular-f32,x86_64
2020-02-10,2020-02-16,12,Fedora,32,cloud,x86_64,1,updates-testing-modular-f32,x86_64
2020-02-10,2020-02-16,4,Fedora,32,cloud,ppc64le,1,fedora-modular-32,ppc64le
2020-02-10,2020-02-16,4,Fedora,32,cloud,ppc64le,1,updates-released-f32,ppc64le
2020-02-10,2020-02-16,17,Fedora,32,cloud,x86_64,1,fedora-32,x86_64
2020-02-10,2020-02-16,2,Fedora,32,cloud,ppc64le,1,updates-testing-modular-f32,ppc64le
2020-02-10,2020-02-16,10,Fedora,32,cloud,x86_64,1,fedora-modular-32,x86_64
2020-02-10,2020-02-16,2,Fedora,32,container,ppc64le,1,updates-testing-modular-f32,ppc64le
2020-02-10,2020-02-16,4,Fedora,32,cloud,ppc64le,1,fedora-32,ppc64le
2020-02-10,2020-02-16,3,Fedora,32,cloud,ppc64le,1,updates-testing-f32,ppc64le
2020-02-10,2020-02-16,2,Fedora,32,container,ppc64le,1,fedora-modular-32,ppc64le
2020-02-10,2020-02-16,4,Fedora,32,container,ppc64le,1,updates-released-modular-f32,ppc64le
2020-02-10,2020-02-16,63,Fedora,32,workstation,x86_64,1,fedora-modular-32,x86_64
2020-02-10,2020-02-16,53,Fedora,32,workstation,x86_64,1,fedora-32,x86_64
2020-02-10,2020-02-16,66,Fedora,32,workstation,x86_64,1,updates-testing-f32,x86_64
2020-02-10,2020-02-16,10,Fedora,32,generic,aarch64,1,fedora-modular-32,aarch64
2020-02-10,2020-02-16,10,Fedora,32,generic,aarch64,1,updates-testing-f32,aarch64
2020-02-10,2020-02-16,10,Fedora,32,generic,aarch64,1,fedora-32,aarch64
2020-02-10,2020-02-16,7,Fedora,32,generic,aarch64,1,updates-testing-modular-f32,aarch64
2020-02-10,2020-02-16,10,Fedora,32,generic,aarch64,1,updates-released-modular-f32,aarch64
2020-02-10,2020-02-16,11,Fedora,32,generic,aarch64,1,updates-released-f32,aarch64
2020-02-10,2020-02-16,20,Fedora,33,generic,x86_64,1,updates-released-f32,x86_64
2020-02-10,2020-02-16,15,Fedora,33,generic,x86_64,1,fedora-32,x86_64
2020-02-10,2020-02-16,2,Fedora,32,workstation,x86_64,1,fedora-31,x86_64
2020-02-10,2020-02-16,1,Fedora,32,workstation,x86_64,1,updates-released-f31,x86_64
2020-02-10,2020-02-16,1,Fedora,33,generic,x86_64,1,updates-released-f31,x86_64
2020-02-10,2020-02-16,1,Fedora,33,generic,x86_64,1,fedora-31,x86_64
2020-02-10,2020-02-16,3,Fedora,32,server,aarch64,1,fedora-modular-32,aarch64
2020-02-10,2020-02-16,11,Fedora,32,generic,armhfp,1,fedora-modular-32,armhfp
2020-02-10,2020-02-16,9,Fedora,32,generic,armhfp,1,updates-testing-modular-f32,armhfp
2020-02-10,2020-02-16,1,Fedora,32,kde,armhfp,1,fedora-32,armhfp
2020-02-10,2020-02-16,8,Fedora,32,generic,armhfp,1,updates-released-modular-f32,armhfp
2020-02-10,2020-02-16,10,Fedora,32,generic,armhfp,1,fedora-32,armhfp
2020-02-10,2020-02-16,3,Fedora,32,matecompiz,armhfp,1,updates-testing-f32,armhfp
2020-02-10,2020-02-16,13,Fedora,32,generic,armhfp,1,updates-released-f32,armhfp
2020-02-10,2020-02-16,9,Fedora,33,generic,x86_64,1,updates-released-frawhide,x86_64
2020-02-10,2020-02-16,136,Fedora,33,cloud,x86_64,1,rawhide-modular,x86_64
2020-02-10,2020-02-16,14,Fedora,33,cloud,x86_64,1,rawhide,x86_64
2020-02-10,2020-02-16,14,Fedora,33,kde,x86_64,1,rawhide,x86_64
2020-02-10,2020-02-16,81,Fedora,33,workstation,x86_64,1,rawhide,x86_64
2020-02-10,2020-02-16,24,Fedora,33,generic,ppc64le,1,rawhide,ppc64le
2020-02-10,2020-02-16,3,Fedora,33,generic,aarch64,1,rawhide-modular,aarch64
2020-02-10,2020-02-16,2,Fedora,33,cloud,ppc64le,1,rawhide,ppc64le
2020-02-10,2020-02-16,24,Fedora,33,generic,ppc64le,1,rawhide-modular,ppc64le
2020-02-10,2020-02-16,21,Fedora,33,server,x86_64,1,rawhide-modular,x86_64
2020-02-10,2020-02-16,2,Fedora,33,cloud,ppc64le,1,rawhide-modular,ppc64le
2020-02-10,2020-02-16,17,Fedora,33,server,x86_64,1,rawhide,x86_64
2020-02-10,2020-02-16,4,Fedora,33,container,ppc64le,1,rawhide-modular,ppc64le
2020-02-10,2020-02-16,13,Fedora,33,kde,x86_64,1,rawhide-modular,x86_64
2020-02-10,2020-02-16,2,Fedora,32,server,armhfp,1,fedora-modular-32,armhfp
2020-02-10,2020-02-16,6,Fedora,33,server,ppc64le,1,rawhide-modular,ppc64le
2020-02-10,2020-02-16,2,Fedora,32,workstation,armhfp,1,fedora-modular-32,armhfp
2020-02-10,2020-02-16,2,Fedora,32,matecompiz,armhfp,1,updates-released-f32,armhfp
2020-02-10,2020-02-16,2,Fedora,32,workstation,armhfp,1,updates-released-f32,armhfp
2020-02-10,2020-02-16,2,Fedora,33,container,ppc64le,1,rawhide,ppc64le
2020-02-10,2020-02-16,4,Fedora,33,server,ppc64le,1,rawhide,ppc64le
2020-02-10,2020-02-16,3,Fedora,32,server,aarch64,1,updates-released-modular-f32,aarch64
2020-02-10,2020-02-16,1,Fedora,33,workstation,ppc64le,1,rawhide-modular,ppc64le
2020-02-10,2020-02-16,1,Fedora,33,workstation,ppc64le,1,rawhide,ppc64le
2020-02-10,2020-02-16,3,Fedora,32,server,armhfp,1,updates-testing-f32,armhfp
2020-02-10,2020-02-16,17,Fedora,32,kde,x86_64,1,updates-released-modular-f32,x86_64
2020-02-10,2020-02-16,15,Fedora,32,kde,x86_64,1,updates-testing-modular-f32,x86_64
2020-02-10,2020-02-16,6,Fedora,32,kde,x86_64,1,updates-released-f32,x86_64
2020-02-10,2020-02-16,7,Fedora,32,kde,x86_64,1,fedora-32,x86_64
2020-02-10,2020-02-16,8,Fedora,32,generic,ppc64le,1,fedora-32,ppc64le
2020-02-10,2020-02-16,15,Fedora,32,generic,ppc64le,1,fedora-modular-32,ppc64le
2020-02-10,2020-02-16,6,Fedora,32,generic,ppc64le,1,updates-released-modular-f32,ppc64le
2020-02-10,2020-02-16,9,Fedora,32,generic,ppc64le,1,updates-released-f32,ppc64le
2020-02-10,2020-02-16,2,Fedora,32,cloud,ppc64le,1,updates-released-modular-f32,ppc64le
2020-02-10,2020-02-16,2,Fedora,32,container,ppc64le,1,updates-testing-f32,ppc64le
2020-02-10,2020-02-16,2,Fedora,32,workstation,ppc64le,1,fedora-modular-32,ppc64le
2020-02-10,2020-02-16,1,Fedora,32,workstation,ppc64le,1,updates-released-modular-f32,ppc64le
2020-02-10,2020-02-16,1,Fedora,32,workstation,ppc64le,1,fedora-32,ppc64le
2020-02-10,2020-02-16,2,Fedora,32,container,ppc64le,1,fedora-32,ppc64le
2020-02-10,2020-02-16,1,Fedora,32,container,ppc64le,1,updates-released-f32,ppc64le
2020-02-10,2020-02-16,2,Fedora,32,matecompiz,armhfp,1,updates-testing-modular-f32,armhfp
2020-02-10,2020-02-16,2,Fedora,32,matecompiz,armhfp,1,fedora-modular-32,armhfp
2020-02-10,2020-02-16,7,Fedora,32,generic,armhfp,1,updates-testing-f32,armhfp
2020-02-10,2020-02-16,2,Fedora,32,workstation,armhfp,1,updates-testing-f32,armhfp
2020-02-10,2020-02-16,5,Fedora,32,server,x86_64,1,fedora-modular-32,x86_64
2020-02-10,2020-02-16,8,Fedora,32,generic,ppc64le,1,updates-testing-f32,ppc64le
2020-02-10,2020-02-16,4,Fedora,32,server,x86_64,1,updates-testing-f32,x86_64
2020-02-10,2020-02-16,5,Fedora,32,server,aarch64,1,updates-testing-f32,aarch64
2020-02-10,2020-02-16,1,Fedora,32,workstation,aarch64,1,updates-testing-f32,aarch64
2020-02-10,2020-02-16,4,Fedora,32,server,x86_64,1,updates-testing-modular-f32,x86_64
2020-02-10,2020-02-16,1,Fedora,32,workstation,aarch64,1,updates-released-f32,aarch64
2020-02-10,2020-02-16,3,Fedora,32,server,x86_64,1,updates-released-f32,x86_64
2020-02-10,2020-02-16,5,Fedora,32,generic,ppc64le,1,updates-testing-modular-f32,ppc64le
2020-02-10,2020-02-16,1,Fedora,32,server,ppc64le,1,fedora-32,ppc64le
2020-02-10,2020-02-16,6,Fedora,32,kde,x86_64,1,updates-testing-f32,x86_64
2020-02-10,2020-02-16,1,Fedora,32,workstation,ppc64le,1,updates-testing-f32,ppc64le
2020-02-10,2020-02-16,2,Fedora,32,workstation,ppc64le,1,updates-released-f32,ppc64le
2020-02-10,2020-02-16,4,Fedora,32,kde,x86_64,1,fedora-modular-32,x86_64
2020-02-10,2020-02-16,1,Fedora,32,workstation,aarch64,1,fedora-32,aarch64
2020-02-10,2020-02-16,2,Fedora,32,matecompiz,armhfp,1,updates-released-modular-f32,armhfp
2020-02-10,2020-02-16,2,Fedora,32,matecompiz,armhfp,1,fedora-32,armhfp
2020-02-10,2020-02-16,2,Fedora,32,workstation,armhfp,1,updates-released-modular-f32,armhfp
2020-02-10,2020-02-16,2,Fedora,32,workstation,armhfp,1,updates-testing-modular-f32,armhfp
2020-02-10,2020-02-16,2,Fedora,32,workstation,armhfp,1,fedora-32,armhfp
2020-02-10,2020-02-16,3,Fedora,32,server,aarch64,1,updates-testing-modular-f32,aarch64
2020-02-10,2020-02-16,4,Fedora,32,server,aarch64,1,updates-released-f32,aarch64
